id;city;visa_application_date;visa_issue_date;waiting_days;travel_purpose;planned_travel_date;additional_doc_request;tickets_purchased;hotels_purchased;employment_certificate;financial_guarantee;comments;visa_center;visa_status;visa_issued_for_days;corridor_days;past_visas_trips;consul;planned_stay_in_italy
7789;Москва;11.06.2024;29.07.2024;48;;05.07.2024;0;0;0;;;;VMS;1;;;;;
7790;Москва;07.06.2024;26.07.2024;49;;05.10.2024;0;0;0;;;;VMS;1;;;;;
7791;Москва;07.06.2024;29.07.2024;52;;;0;0;0;работа;1000;;VMS;1;;;;;
7792;Москва;07.06.2024;29.07.2024;52;;;0;0;0;работа;1000;;VMS;1;;;;;
7793;Москва;07.06.2024;29.07.2024;52;Туризм;;0;0;0;;;;VMS;1;;;;;
7794;Москва;07.06.2024;29.07.2024;52;Туризм;12.08.2024;0;0;0;работа;400;;VMS;1;;;;;
7795;Москва;07.06.2024;29.07.2024;52;Туризм;12.08.2024;0;0;0;работа;500;;VMS;1;;;;;
7796;Москва;07.06.2024;29.07.2024;52;Туризм;12.08.2024;0;0;0;;800;;VMS;1;;;;;
7797;Москва;10.06.2024;29.07.2024;49;Туризм;;0;0;0;самозанятость;700;;VMS;1;;;;;
7798;Москва;10.06.2024;30.07.2024;50;;30.07.2024;0;0;0;;;;VMS;1;;;;;
7799;Санкт-Петербург;02.05.2024;29.07.2024;88;;;0;0;0;;980;Причина отказа: Пункт 10. Недостоверность предоставленной информации , подтверждающей цель и условия предполагаемого пребывания;VMS;0;;;;;
7800;Москва;11.06.2024;31.07.2024;50;;21.09.2024;0;0;0;;600;;VMS;1;;;;;
7801;Москва;11.06.2024;31.07.2024;50;;23.07.2024;0;0;0;;;;VMS;1;;;;;
7802;Москва;11.06.2024;31.07.2024;50;;;0;0;0;;;;VMS;1;;;;;
7803;Москва;07.06.2024;01.08.2024;55;;;0;0;0;;;;VMS;1;;;;;
7804;Москва;07.06.2024;02.08.2024;56;;16.07.2024;0;0;0;самозанятость;600;;VMS;1;;;;;
7805;Москва;11.06.2024;31.07.2024;50;;;0;0;0;;1000;;VMS;1;;;;;
7806;Москва;10.06.2024;31.07.2024;51;;;0;0;0;;;;VMS;1;;;;;
7807;Москва;13.06.2024;02.08.2024;50;;;0;0;0;;;;VMS;1;;;;;
7808;Москва;20.05.2024;31.07.2024;72;;;0;0;0;;;10 пункт;VMS;0;;;;;
7809;Москва;18.07.2024;04.08.2024;17;Родственники;;0;0;0;;;;VMS;1;;;;;
7810;Москва;13.07.2024;02.08.2024;20;Родственники;;0;0;0;;;;VMS;1;;;;;
7811;Москва;14.06.2024;05.08.2024;52;;;0;0;0;;;;VMS;1;;;;;
7812;Москва;14.06.2024;05.08.2024;52;;;0;0;0;;;;VMS;1;;;;;
7813;Санкт-Петербург;14.06.2024;05.08.2024;52;;08.08.2024;0;0;0;;1000;;VMS;1;;;;;
7814;Москва;13.06.2024;05.08.2024;53;;;0;0;0;;;;VMS;1;;;;;
7815;Москва;14.06.2024;05.08.2024;52;;;0;0;0;ИП;;;VMS;1;;;;;
7816;Москва;07.06.2024;05.08.2024;59;;01.08.2024;0;0;0;;;Авиабилеты выкуплены, брони отелей с букинга, держались до последнего, маршрут Милан - Сан-Ремо 11 ночей - Ницца 3 ночи;Альмавива;1;1;;До этого итальянская виза на месяц в январе, прошлым летом отказ Франции (п.10), до него - полугодовая франц.виза;;
7817;Москва;18.07.2024;04.08.2024;17;Родственники;;0;0;0;;;Приглашение от мамы. Отчим итальянец, родство подтверждала документально;VMS;1;;90;В прошлом почти все визы итальянские были, на 2-3 года. ;Sirimarco;
7818;Москва;13.07.2024;02.08.2024;20;Родственники;;0;0;0;;;Приглашение от сына. Билеты были брони на сентябрь. ;VMS;1;;90;;Favilli;
7819;Москва;11.06.2024;05.08.2024;55;;04.08.2024;0;0;0;Работа;400;;Альмавива;1;5;;;Фавили;
7820;Москва;14.06.2024;05.08.2024;52;;;0;0;0;ИП;;;VMS;1;;;;Фавелли;
7821;Москва;07.06.2024;02.08.2024;56;;;0;0;0;работа;1500;приглашение от двух граждан Италии, письмо о том, что они  предоставляют жилье, фотографии и переписки общие, билеты на самолеты (подтверждение, что мы виделись в другой стране) и т.д.;Альмавива;1;365;90;;;
7822;Москва;13.06.2024;05.08.2024;53;;09.11.2024;0;0;0;;2500;;VMS;1;90;;;;
7823;Екатеринбург;10.06.2024;05.08.2024;56;;;0;0;0;;300;еду по приглашению от гражданина Италии. финансовая гарантия от приглашающего -  визу забрала в Москве. Моя первая виза ;Альмавива;1;45;;;;
7824;Москва;13.06.2024;06.08.2024;54;;05.08.2024;0;0;0;;700;;VMS;1;;;;Фавилли;
7825;Москва;17.06.2024;06.08.2024;50;;25.08.2024;0;0;0;работа;1300;;VMS;1;365;;;;
7826;Москва;13.06.2024;06.08.2024;54;;25.08.2024;0;0;0;без справки;800;;VMS;1;60;;До этого был шенген Нидерланды неоткатанный, в Европу никогда не летала.;;
7827;Москва;17.06.2024;06.08.2024;50;;06.08.2024;0;0;0;;1000;;VMS;1;25;;на 1,5 месяца, 25 дней пребывание, мульт. ;Фавилли;
7828;Москва;18.06.2024;06.08.2024;49;;;0;0;0;;;Предыдущие две полугодовые Итальянские ;VMS;1;365;;Предыдущие две полугодовые Итальянские ;Favilli;
7829;Санкт-Петербург;26.04.2024;06.08.2024;102;;;0;0;0;;;У меня два гражданства,  РФ и Украины, гражданство РФ приобрела в 2017 по браку. Позвонили из консульства и попросили привезти любые документы, свидетельствующие о том, что я получала гражданство и до получения жила на территории РФ, любые копии документов разрешающих. ;VMS;1;10;;;;
7830;Москва;17.06.2024;07.08.2024;51;;;0;0;0;;;;VMS;1;;;;;
7831;Москва;18.06.2024;07.08.2024;50;;;0;0;0;;350;Запрашивала 14.08-22.08. Дали Однократную;VMS;1;14;;В далеком 13 году был немецкий Шенген  ,в 19 был Австрия под даты и Германия 3 месяца ;;
7832;Москва;14.06.2024;06.08.2024;53;;31.07.2024;0;0;0;;650;;VMS;1;;;Предыдущие Шенгенские визы были регулярно до 2021 года;;
7833;Москва;14.06.2024;07.08.2024;54;;;0;0;0;;;;VMS;1;;90;Последняя виза Франция в прошлом году, годовая. До этого 2 раза была по 5 лет Франция.;Favilli;
7834;Москва;14.06.2024;06.08.2024;53;;01.09.2024;0;0;0;работа;1800;Запрашивала с 01.09.2024 по 28.09.2024. 11.09.2024 подруга выходит замуж за итальянца, также прикладывали письмо от него с приглашением на свадьбу и копию его паспорта;VMS;1;1;;;Фавилли;
7835;Москва;14.06.2024;06.08.2024;53;;01.09.2024;0;0;0;;600;;VMS;1;90;45;латвия, чехия, испания, последняя французская в 2020 году на 2 года;Фавилли;
7836;Москва;18.06.2024;06.08.2024;49;;04.08.2024;0;0;0;;;;VMS;1;30;4;;;
7837;Екатеринбург;11.06.2024;08.08.2024;58;;;0;0;0;;;;Альмавива;1;23;45;Ранее шенген был итальянский пол года и годовой чешский, но в 19-20 годах. ;Favilli;
7838;Москва;06.06.2024;06.08.2024;61;;21.10.2024;0;0;0;;500;Звонили итальянцу 1.08. С 21.10 по 4.12. на 30 дней. ;Альмавива;1;;;;;
7839;Санкт-Петербург;02.04.2024;05.08.2024;125;;08.08.2024;0;0;0;;;Было приглашение от моего мужа. В мае почти на месяц изымала паспорт;VMS;1;;;До этого было два финских. ;;
7840;Москва;19.06.2024;07.08.2024;49;;06.08.2024;0;0;0;;;;VMS;1;730;;Последний шенген закончился в феврале 24 года (2,5 года был, испанский);Favilli;
7841;Краснодар;14.06.2024;08.08.2024;55;;;0;0;0;;;Однократную на 18 дней. Запрашивала 16.09-28.09 Первая виза;Альмавива;1;16;;;;
7842;Москва;17.06.2024;06.08.2024;50;;24.12.2024;0;0;0;;;Запрашивала с 24.12.24 по 03.01.2025. Дали с 24.12.24 на 6 месяцев, mult, 90.;VMS;1;;;До этого был только один шенген в апреле 2024, под поездку, однократный.;;
7843;Москва;11.06.2024;06.08.2024;56;;03.08.2024;0;0;0;;;Подавались после отказа, первый раз при подаче прикладывали все строго по списку с сайта, билеты и отель бронированные.Во второй раз прикладывали приглашение от родственника, совместные фото с предыдущих поездок, договор на аренду квартиры в Италии того,кто приглашает, выкупленные авиа билеты (которые прогорели 3 августа), ;VMS;1;180;;;Фавилли;
7844;Москва;13.06.2024;07.08.2024;55;;;0;0;0;;;;VMS;1;180;;в прошлом году была виза на 3 месяца;;
7845;Краснодар;13.06.2024;08.08.2024;56;;;0;0;0;;;;Альмавива;1;180;;;;
7846;Москва;14.06.2024;05.08.2024;52;;;0;0;0;;700;Просили визу с 2.09 по 10.09;VMS;1;;;;;
7847;Екатеринбург;13.06.2024;09.08.2024;57;;;0;0;0;Пенсионер;;Фингарантия  хорошая, больше 🍋.  Запрашивала мульти, дали 30/45.  Виза вклеена 7.08. ;Альмавива;1;;;Шенгенов много, последний Испания в прошлом году на 30 дней.;Фавилли;
7848;Москва;14.06.2024;05.08.2024;52;;01.11.2024;0;0;0;;2000;;VMS;1;180;;;Фавилли;
7849;Москва;19.06.2024;09.08.2024;51;;;0;0;0;;;;VMS;1;365;;;;
7850;Москва;19.06.2024;09.08.2024;51;;10.08.2024;0;0;0;;;;VMS;1;10;;;;
7851;Москва;20.06.2024;09.08.2024;50;;;0;0;0;;;;VMS;1;90;;;Фавилли;
7852;Новосибирск;22.07.2024;09.08.2024;18;Учеба;;0;0;0;;;;;1;;;;;
7853;Москва;18.06.2024;09.08.2024;52;;12.08.2024;0;0;0;;1200;подавала на студенческую визу D ;;1;;;;;
7857;Санкт-Петербург;01.07.2024;09.08.2024;39;Туризм;15.08.2024;0;1;0;Учеба;;студенты, подавали со спонсорством;VMS;1;18;30;итальянский шенген на месяц;Кристофаро;
7858;Санкт-Петербург;01.07.2024;09.08.2024;39;Туризм;15.08.2024;0;1;0;Учеба;;Мы студенты, поэтому прилагали спонсорское и родство [со спонсором, спонсор из России]. Подавались с 15.08-29.08.;VMS;1;15;28;финский шенген на 2 года;Кристофаро;
7859;Москва;19.06.2024;09.08.2024;51;;;0;0;0;ИП;1000;За 5 лет первый шенген;VMS;1;45;;;Фавилли;
7860;Москва;18.06.2024;09.08.2024;52;;01.09.2024;0;1;0;;;Дали с 1.09 по 3.10, не мульти, на 18 дней посещения. Шенгенскую визу получала первый раз, в загранике были только печати с посещением Кипра.;Альмавива;1;15;32;;;
7861;Москва;14.06.2024;12.08.2024;59;Туризм;;0;1;1;Работа;500;10 пункт отказа. Подавались Рим, Амальфи, Рим. 10 дней. СМС вообще не пришло. Звонили [сами заявители];Альмавива;0;;;Годовая Франция в прошлом году (2023);;
7862;Москва;23.05.2024;12.08.2024;81;;29.10.2024;1;0;0;;900;прикладывала изначально билет на концерт (но паспорт ещё тогда не был готов, пропустила концерт), вклеили в чистый паспорт. Мульти. Даты поездки запрашивала изначально с 07.07 по 19.07. Два раза доп запрос приходил, потому что к изначальной дате паспорт не был готов ;Альмавива;1;30;45;;Фавилли;
7863;Москва;18.06.2024;12.08.2024;55;;;0;0;0;работа;500;зп по 300к;Альмавива;1;90;;Шенген последний итальянский на 3 мес, откатали сначала в Австрии, потом в Италии через месяц. До этого шенген Испании 1 мес, Италия 1 год и Италия полгода;Фавилли;
