id;city;visa_application_date;visa_issue_date;waiting_days;travel_purpose;planned_travel_date;additional_doc_request;tickets_purchased;hotels_purchased;employment_certificate;financial_guarantee;comments;visa_center;visa_status;visa_issued_for_days;corridor_days;past_visas_trips;consul;planned_stay_in_italy
7891;Москва;26.06.2024;14.08.2024;49;;02.09.2024;0;1;0;Пенсионер;360;Дали на 45 дней multi  50 дней. Поездка с 16.08 на 19 дней. Приглашение от друзей, ;VMS;1;45;50;чистый паспорт, первый шенген.;Favilli;
7892;Москва;24.06.2024;14.08.2024;51;;06.08.2024;0;1;0;;;Родителям дали мульти, 90 дней с коридором в два года  ;VMS;1;90;730;До этого был шенген в старом паспорте с 19 по 22 год , итальянский;;
7893;Новосибирск;17.06.2024;14.08.2024;58;;07.09.2024;0;1;0;работа;930;Подача 17.06 Новосибирск, семья 3 человека. Статус сменился на «в пути» 12.08, готов к получению 14.08;Альмавива;1;90;90;;Фавилли;
7894;Краснодар;19.06.2024;15.08.2024;57;;;0;1;1;ИП;600;Подавала все по списку, выкупленные билеты,оплаченные брони отелей, на 11 дн пребывания фин гарантия 600 тр, ИП. дали с 24.10 до 27.11,  20 дн, мульти,;Альмавива;1;;;;Фавилли;
7895;Казань;18.06.2024;15.08.2024;58;;25.08.2024;0;1;0;;;;Альмавива;1;30;30;;;
7896;Москва;26.06.2024;14.08.2024;49;;12.10.2024;0;0;0;;;даты поездки с 12/10 по 19/10 Визу дали на 20 дней с 12/10 по 15/11;VMS;1;20;;Меняла фамилию после замужества,старый паспорт с визами утерян,по сути первая виза на новую фамилию;;
7897;Краснодар;17.06.2024;15.08.2024;59;;02.09.2024;0;0;0;работа;400;Подавала выкупленные билеты: ✈️Сочи-Ереван-Венеция обратно 🛬Милан - Ереван-Сочи ( в этом маршруте был перенос рейсов по новым датам маршрут назад не стыковался совсем, ничего с этим не делала просто ждала🥹) Бронь Букинг неоплаченная все 14 дней в Местре (материковая часть Венеции).🪪🇧🇬2021-2022 Болгария годовая мульти 🪪🇪🇪2022(январь) однократная Эстония 8 дней (еле впустили 🤦🏼‍♀️была пандемия продержали 3 часа на границе при чем наши не выпускали, сделала запись он-лайн к эстонскому стоматологу выпустили) 🪪🇮🇹04.2022-10.2022 Италия мульт полгода (Консул Capitanelli) открыла через Латвию  🪪🇮🇹04.2023-05.2023 Италия однократная на 10 дней (это к тому как ревностны Итальянцы) FAVILLI откатала правильно  🛑16.11.2022 ОТКАЗ (Итальянцы) подавали агенты пока рассматривали я выкупила все билеты и по настоящему ехала на Новый Год в Италию, агенты были хорошие 4 визы выше их, на 5ый раз ОТКАЗ, что сделали эти же девочки: не взяли с меня оплату за запись записали меня через 2 дня в Москву на подачу, я вылетела в Москву сдала уже мой настоящий пакет документов, написала сопроводительное письмо как я люблю Италию и приложила документы на квартиру и автомобиль милый FAVILLI все смилился на до мной 💝 🪪🇮🇹01.2023-01.2023 на 12 дней однократная Новогодние праздники были спасены) 🪪🇮🇹08.2023-10.2023 на 30 дней мульт FAVILLI (тут была нервотрепка как сейчас выдали задним числом а самолет улетел неделей ранее до запросов не было и чата не было💔) 🪪🇮🇹01.2024-07.2024 90 мульт FAVILLI Ну 09.2024-09.2025 90 мульт   FAVILLI Все правильно откатаны!✅;Альмавива;1;365;;;Фавилли;
7898;Москва;25.06.2024;15.08.2024;51;;06.08.2024;0;1;0;;;Визу дали на полгода, задним числом с 08.08. Проставлена 15.08;VMS;1;90;180;;;
7899;Екатеринбург;17.06.2024;14.08.2024;58;;25.08.2024;0;1;1;работа;450;Первый Шенген!!! 💃💃💃Запрашивала с 25.08 по 05.09. Дали с 25.08 по 23.09. коридор 15 дней;Альмавива;1;25;15;;;
7900;Москва;24.06.2024;13.08.2024;50;;;0;0;0;;;;VMS;1;90;180;;;
7901;Ростов-на-Дону;20.06.2024;15.08.2024;56;;26.08.2024;0;0;0;;1000;ИП;Альмавива;1;45;45;;;
7902;Краснодар;19.06.2024;15.08.2024;57;;;0;1;0;работа;1400;;Альмавива;1;15;30;В старых паспортах были доковидные годовые Греции, много безвизовых, 21 и 22 год - две годовые Австралии;Фавилли;
7903;Москва;26.06.2024;14.08.2024;49;;;0;0;0;;;;VMS;1;30;;первая виза;;
7904;Москва;20.06.2024;15.08.2024;56;;25.07.2024;0;0;0;;;;VMS;1;90;180;;;
